tf,target,weight,label
KLF3,ARPC5L,0.0,0
BCL11A,ARPC5L,0.0,0
MEF2D,C6orf48,-1.2008800781875582,0
E2F4,C6orf48,0.0,0
SATB1,C6orf48,0.0,0
IRF1,C6orf48,0.0,0
ATF6,C6orf48,-1.8280657441731716,0
JUN,C6orf48,0.0,0
JUND,C6orf48,0.0,0
POU2F2,C6orf48,0.0,0
KLF3,C6orf48,0.0,0
BCL11A,C6orf48,0.6642777348702863,0
MEF2D,COX4I1,-1.00336657411665,0
E2F4,COX4I1,0.0,0
SATB1,COX4I1,0.0,0
IRF1,COX4I1,-1.6810209371790512,0
ATF6,COX4I1,-1.827311656619096,0
JUN,COX4I1,0.0,0
JUND,COX4I1,-0.7821367735445187,0
POU2F2,COX4I1,0.8065520826063948,0
KLF3,COX4I1,0.0,0
BCL11A,COX4I1,0.0,0
MEF2D,ATP6V0E1,0.0,0
E2F4,ATP6V0E1,0.0,0
SATB1,ATP6V0E1,0.0,0
IRF1,ATP6V0E1,-2.031665240999678,0
ATF6,ATP6V0E1,0.0,0
JUN,ATP6V0E1,0.0,0
JUND,ATP6V0E1,-1.352492088230534,0
POU2F2,ATP6V0E1,0.902490281603476,0
KLF3,ATP6V0E1,0.0,0
BCL11A,ATP6V0E1,0.0,0
MEF2D,SNRPE,0.9957230704633454,0
E2F4,SNRPE,0.0,0
SATB1,SNRPE,0.0,0
IRF1,SNRPE,-1.404746439705966,0
ATF6,SNRPE,-1.8461004522341102,0
JUN,SNRPE,-0.8529700954346786,0
JUND,SNRPE,0.0,0
POU2F2,SNRPE,0.0,0
KLF3,SNRPE,0.0,0
BCL11A,SNRPE,-0.7552109392222496,0
MEF2D,PFDN5,-1.0838090615506426,0
E2F4,PFDN5,0.0,0
SATB1,PFDN5,0.0,0
IRF1,PFDN5,-1.4228012650784785,0
ATF6,PFDN5,-1.4117594990727302,0
JUN,PFDN5,0.0,0
JUND,PFDN5,0.0,0
POU2F2,PFDN5,0.0,0
KLF3,PFDN5,0.0,0
BCL11A,PFDN5,0.0,0
MEF2D,WHSC1,0.8796816090946885,0
E2F4,WHSC1,0.8264301871701617,0
SATB1,WHSC1,0.0,0
IRF1,WHSC1,0.0,0
ATF6,WHSC1,0.0,0
JUN,WHSC1,0.0,0
JUND,WHSC1,0.0,0
POU2F2,WHSC1,1.176498053328343,0
KLF3,WHSC1,0.0,0
BCL11A,WHSC1,1.578880015368397,0
MEF2D,IGHV3-21,0.0,0
