Cell,Pms1,Prrx2,Ets1,Tet2,Crebrf,Gli3,Zhx2,A630089N07Rik,Zfhx4,Pbx3
15_27_39__s7,0.39849791341071705,0.3963659076988022,0.5528019408850567,0.4679316665208004,0.40400000071039605,0.4861394466577351,0.5740022642348589,0.3203106332357867,0.48232485983343076,0.29450940828706995
14_29_46__s2,0.24812772441297454,0.5392178907191106,0.585700845826616,0.5176557073136515,0.5913694072267722,0.42398243175662836,0.6631243320538442,0.2261332864999623,0.5395821290504704,0.23755917638262933
13_20_65__s6,0.4791816550928059,0.2868913607435193,0.5423204181083501,0.44376551937767034,0.29247836547790473,0.4955803261647446,0.47283387618444594,0.38358739190014207,0.46053699223986416,0.3448301086768653
13_49_58__s3,0.33076152945781806,0.33664075981910463,0.494240530463509,0.5020530918169068,0.48723926656759226,0.40613452229707564,0.47984244485177635,0.2842840353724836,0.5012244481380922,0.2728667300319826
17_17_87__s5,0.2494397448865007,0.5345966733164852,0.5675688184912494,0.5419452256716782,0.5799673037168863,0.39593612611322426,0.6409963508579045,0.22688897632507726,0.5320224007830676,0.2336701483010717
13_36_64__s5,0.3339533340277424,0.35596153218424537,0.6547307041812807,0.5055804303840886,0.7113053226068599,0.36185168147785657,0.3672746714932516,0.28791335265253687,0.4730399133710881,0.31707540090777897
16_66_78__s5,0.251267971365122,0.5492064022160758,0.5884628795808751,0.5290687704273234,0.5809115147048401,0.43114910667838696,0.6621058968348352,0.2249890556178284,0.5416854275357129,0.23383383553888082
13_40_60__s2,0.47819801728795674,0.2600202805544311,0.5139448378745202,0.4370388023671025,0.30259116729012686,0.4851160695643939,0.479018110354777,0.3973987492181226,0.4693186482543352,0.358138262175244
16_73_17__s6,0.2879519237437948,0.47208903276758024,0.5654590444117479,0.5166819811941125,0.5594662316783452,0.435077485014355,0.6645424929646688,0.2524110190722177,0.5378487920634456,0.2505165632077568
15_89_22__s7,0.2687463829150023,0.5673067312322756,0.5965304619363483,0.5187059189468921,0.5944206020705229,0.44894713337163517,0.6648632603859197,0.2360335363271977,0.5399341699383282,0.24712391433666506
13_31_04__s8,0.26763818888548363,0.5760437044087222,0.589596768428846,0.5240910296906465,0.6286519202328212,0.44495021611053764,0.6773607324800156,0.2391963578233709,0.5374807236660859,0.2518738481522824
14_05_54__s1,0.30330575665429826,0.4697287690893064,0.6183915463271862,0.5324050013129787,0.6030331532567064,0.42234494357694813,0.5967091094443487,0.26057267224614017,0.503637562550178,0.26500179600327467
13_73_80__s7,0.30800060427839043,0.4184408661378913,0.6064464056549324,0.5263005934676931,0.5657163703798711,0.4148552310008463,0.5887326926890519,0.2648944908473388,0.5007112397043115,0.2651187158713472
16_13_82__s3,0.24461739656719145,0.4589606786760641,0.5151960358618978,0.5536391073968319,0.6635302232901967,0.3833156686509672,0.5865521272667906,0.22504065872315332,0.5310362280814829,0.23119825100331903
18_05_22__s8,0.40293748840482924,0.3110339623881965,0.585714248121429,0.48265553795115257,0.45457534792344806,0.4168558018218566,0.5057991175906449,0.3224377709471574,0.4599373673420533,0.30846487208461115
13_04_19__s7,0.3086503100658441,0.6029211518854123,0.5733124636937806,0.5199309402469073,0.6449403041357189,0.5116601306524147,0.6224923083292738,0.2650609605694614,0.5189503155394042,0.2701601863111572
16_92_19__s6,0.25204892842841947,0.5638155567400563,0.5868324426561321,0.5210767514629785,0.6055173620601213,0.45066770204809037,0.6812199941437277,0.2282119894546063,0.5511213475357614,0.2403377563102049
14_19_65__s1,0.32101932347463813,0.36348491352492823,0.5645677148164958,0.5057328321169714,0.525180617143288,0.4160511601157644,0.5622149632111854,0.27421293812281156,0.4913424113793568,0.27076378449997146
16_04_48__s5,0.2678807288501188,0.44874160338323954,0.5829484939001865,0.5226542584990832,0.5223896000074416,0.4173343983385396,0.6587010973250972,0.2421738054510636,0.5390760186868694,0.24847623417347678
17_02_74__s6,0.4560157057676217,0.30263163275927335,0.5028539715139193,0.42627176674610134,0.33062839614610057,0.4931949484630958,0.5144754780414341,0.3930546366942191,0.443111915857966,0.3569524983178324
18_53_30__s4,0.4655253721853987,0.28122127827310467,0.5010934119438236,0.4397610184681597,0.3393582665492091,0.48398819888169664,0.5062584831705089,0.3902371959606523,0.4544463560444041,0.3541604920634104
14_61_09__s1,0.34636459974525297,0.3882924296965985,0.552996335409805,0.49207212130690475,0.4877055628500758,0.46201499080358904,0.5659652201979163,0.2981763837290167,0.524159647128352,0.2868776233642463
16_16_54__s3,0.2993579246342032,0.37816376012581515,0.5686217773656608,0.5132675514902627,0.5046276947417496,0.41168790219907014,0.5968168085377811,0.2634002328316444,0.5086158384991634,0.263658004872986
17_51_45__s1,0.37695594117399506,0.39902529023883754,0.5022789586250792,0.4203879353892528,0.41513121669595665,0.4897356238906605,0.46096137191516523,0.3795331738480626,0.41925589513598027,0.40519115501963915
15_70_92__s7,0.3657292398522634,0.2785993572822352,0.4948455808840618,0.4286933648294363,0.3514383690889067,0.4264627337188345,0.531130438982956,0.35838076553136655,0.4457988425505271,0.3722891333910641
18_75_13__s5,0.5250497083413449,0.2973209746551159,0.5768060491513474,0.443558025470953,0.3658364690837559,0.5083995435085638,0.4950983546171884,0.4088365017684428,0.4422386646740403,0.36442926985582796
14_36_09__s5,0.45351608813864214,0.3746408847977646,0.5942996535679888,0.45212801238365297,0.4670015774801547,0.4838931386908116,0.533059186547049,0.3817982923042834,0.4419704312971345,0.36921848709581995
