Cell,category,label
02_91_03__s1,control,0
06_39_49__s3,control,0
03_46_09__s4,control,0
02_93_37__s4,control,0
01_75_36__s5,control,0
06_51_11__s7,control,0
01_19_72__s5,control,0
05_17_39__s8,control,0
06_13_05__s1,control,0
06_25_96__s3,control,0
05_80_18__s3,control,0
04_06_85__s7,control,0
01_41_91__s6,control,0
06_09_25__s8,control,0
04_79_80__s4,control,0
01_78_55__s7,control,0
04_89_15__s1,control,0
05_54_57__s5,control,0
05_70_82__s6,control,0
03_10_21__s7,control,0
06_85_69__s5,control,0
02_26_17__s2,control,0
03_82_78__s7,control,0
02_67_23__s4,control,0
05_05_68__s6,control,0
04_82_36__s5,control,0
03_23_69__s1,control,0
04_58_43__s4,control,0
04_07_61__s2,control,0
04_49_80__s4,control,0
04_30_32__s2,control,0
06_61_62__s8,control,0
06_44_22__s4,control,0
02_75_40__s2,control,0
02_74_35__s6,control,0
06_28_72__s7,control,0
01_05_23__s7,control,0
01_06_80__s7,control,0
05_40_88__s2,control,0
02_54_71__s1,control,0
03_85_80__s1,control,0
04_41_66__s5,control,0
04_74_07__s1,control,0
03_59_85__s1,control,0
04_41_66__s6,control,0
04_68_37__s7,control,0
05_26_23__s2,control,0
06_83_74__s4,control,0
04_54_05__s2,control,0
05_58_84__s3,control,0
03_89_15__s4,control,0
03_31_15__s8,control,0
04_34_93__s2,control,0
02_15_70__s1,control,0
03_52_89__s5,control,0
06_23_26__s4,control,0
03_91_25__s2,control,0
06_77_45__s4,control,0
05_06_59__s7,control,0
02_39_22__s8,control,0
06_93_53__s2,control,0
04_29_41__s3,control,0
03_16_26__s2,control,0
04_58_92__s1,control,0
01_65_15__s8,control,0
01_53_32__s3,control,0
01_57_65__s5,control,0
06_36_95__s1,control,0
02_46_23__s5,control,0
03_28_72__s5,control,0
05_49_92__s7,control,0
04_96_48__s8,control,0
03_51_42__s4,control,0
06_56_11__s8,control,0
03_73_82__s5,control,0
06_07_54__s6,control,0
01_08_11__s6,control,0
03_68_93__s7,control,0
04_94_70__s4,control,0
05_63_46__s4,control,0
06_35_68__s4,control,0
02_20_26__s8,control,0
06_74_82__s3,control,0
06_52_44__s3,control,0
06_55_59__s5,control,0
01_08_30__s1,control,0
02_45_53__s8,control,0
02_31_78__s3,control,0
02_33_07__s2,control,0
02_52_16__s7,control,0
03_35_16__s2,control,0
06_91_20__s4,control,0
03_25_68__s8,control,0
05_46_49__s2,control,0
06_84_17__s4,control,0
01_06_22__s3,control,0
02_79_56__s2,control,0
02_47_06__s8,control,0
03_01_85__s6,control,0
02_82_96__s2,control,0
05_11_20__s3,control,0
05_12_47__s5,control,0
05_05_80__s7,control,0
05_34_60__s8,control,0
01_87_06__s5,control,0
02_96_64__s7,control,0
02_85_77__s4,control,0
02_20_35__s5,control,0
01_26_45__s6,control,0
05_37_93__s2,control,0
01_41_81__s7,control,0
01_90_81__s3,control,0
01_15_50__s3,control,0
05_73_96__s1,control,0
05_01_05__s1,control,0
01_24_46__s6,control,0
05_16_09__s7,control,0
02_49_83__s2,control,0
02_07_40__s6,control,0
03_83_96__s3,control,0
01_04_22__s1,control,0
01_39_01__s6,control,0
06_38_27__s8,control,0
01_56_64__s5,control,0
04_32_55__s2,control,0
03_37_54__s8,control,0
04_16_08__s5,control,0
04_71_85__s1,control,0
15_20_27__s8,PD-L1,1
16_40_58__s1,PD-L1,1
18_04_07__s2,PD-L1,1
13_07_41__s8,PD-L1,1
13_39_07__s2,PD-L1,1
13_02_29__s6,PD-L1,1
13_14_39__s6,PD-L1,1
17_83_86__s2,PD-L1,1
14_32_61__s1,PD-L1,1
17_13_24__s1,PD-L1,1
16_71_54__s5,PD-L1,1
15_41_38__s5,PD-L1,1
17_64_76__s3,PD-L1,1
18_30_37__s2,PD-L1,1
13_62_64__s1,PD-L1,1
14_45_42__s5,PD-L1,1
13_94_86__s3,PD-L1,1
14_95_96__s1,PD-L1,1
16_25_83__s8,PD-L1,1
18_88_42__s3,PD-L1,1
13_30_91__s2,PD-L1,1
15_08_47__s4,PD-L1,1
16_69_20__s2,PD-L1,1
13_68_63__s1,PD-L1,1
16_03_20__s1,PD-L1,1
15_50_74__s3,PD-L1,1
17_79_28__s6,PD-L1,1
16_37_50__s2,PD-L1,1
13_65_23__s7,PD-L1,1
17_05_22__s8,PD-L1,1
15_38_81__s7,PD-L1,1
17_30_47__s7,PD-L1,1
17_10_90__s1,PD-L1,1
15_52_30__s1,PD-L1,1
15_22_03__s2,PD-L1,1
16_79_27__s8,PD-L1,1
18_24_33__s1,PD-L1,1
18_12_40__s2,PD-L1,1
16_56_37__s8,PD-L1,1
13_05_81__s7,PD-L1,1
18_04_12__s7,PD-L1,1
18_56_37__s1,PD-L1,1
15_80_90__s5,PD-L1,1
13_23_33__s1,PD-L1,1
14_27_14__s1,PD-L1,1
13_18_27__s2,PD-L1,1
17_23_45__s6,PD-L1,1
16_84_43__s3,PD-L1,1
15_07_37__s7,PD-L1,1
13_48_04__s6,PD-L1,1
14_44_43__s7,PD-L1,1
13_94_74__s3,PD-L1,1
